Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG_prc,three_PM,Three_PA,Three_P_prc,FTM,FTA,FT_prc,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Anfernee Simons,2021,57,30,29.5,17.33,6.19,13.98,0.443,3.14,7.75,0.405,1.81,2.04,0.888,0.46,2.19,2.65,3.88,0.53,0.11,2.02,1.93
Anfernee Simons,2022,62,62,35,21.06,7.53,16.85,0.447,3.42,9.06,0.377,2.58,2.89,0.894,0.29,2.31,2.6,4.08,0.68,0.23,2.06,2.29
James Harden,2009,76,0,22.9,9.91,3.07,7.61,0.403,1.22,3.26,0.375,2.55,3.16,0.808,0.62,2.59,3.21,1.8,1.05,0.26,1.39,2.63
James Harden,2010,82,5,26.7,12.17,3.63,8.34,0.436,1.38,3.95,0.349,3.52,4.18,0.843,0.51,2.6,3.11,2.15,1.12,0.29,1.29,2.52
James Harden,2011,62,2,31.4,16.84,4.98,10.15,0.491,1.84,4.71,0.39,5.03,5.95,0.846,0.48,3.58,4.06,3.69,1,0.24,2.21,2.42
James Harden,2012,78,78,38.3,25.94,7.5,17.14,0.438,2.29,6.23,0.368,8.64,10.15,0.851,0.79,4.06,4.86,5.83,1.82,0.49,3.78,2.28
James Harden,2013,73,73,38,25.36,7.52,16.51,0.456,2.42,6.62,0.366,7.89,9.11,0.866,0.84,3.88,4.71,6.11,1.58,0.4,3.63,2.42
James Harden,2014,81,81,36.8,27.37,7.99,18.15,0.44,2.57,6.85,0.375,8.83,10.17,0.868,0.93,4.74,5.67,6.98,1.9,0.74,3.96,2.57
James Harden,2015,82,82,38.1,28.98,8.66,19.72,0.439,2.88,8.01,0.359,8.78,10.21,0.86,0.77,5.34,6.11,7.46,1.7,0.62,4.56,2.79
James Harden,2016,81,81,36.4,29.09,8.32,18.93,0.44,3.23,9.33,0.347,9.21,10.88,0.847,1.17,6.96,8.14,11.2,1.49,0.47,5.73,2.65
James Harden,2017,72,72,35.4,30.43,9.04,20.12,0.449,3.68,10.03,0.367,8.67,10.1,0.858,0.57,4.83,5.4,8.75,1.75,0.69,4.38,2.35
James Harden,2018,78,78,36.8,36.13,10.81,24.47,0.442,4.85,13.18,0.368,9.67,11,0.879,0.85,5.79,6.64,7.51,2.03,0.74,4.96,3.13
James Harden,2019,68,68,36.5,34.34,9.88,22.26,0.444,4.4,12.4,0.355,10.18,11.76,0.865,1.03,5.53,6.56,7.53,1.84,0.88,4.53,3.34
James Harden,2020,44,43,36.6,24.61,7.77,16.68,0.466,2.75,7.59,0.362,6.32,7.34,0.861,0.8,7.11,7.91,10.8,1.2,0.75,4.02,2.25
James Harden,2021,65,65,37.2,22.03,6.26,15.26,0.41,2.28,6.89,0.33,7.23,8.25,0.877,0.85,6.85,7.69,10.26,1.26,0.55,4.37,2.35
James Harden,2022,58,58,36.8,20.97,6.4,14.52,0.441,2.78,7.21,0.385,5.4,6.22,0.867,0.69,5.41,6.1,10.66,1.22,0.53,3.36,1.93
Jordan Clarkson,2014,59,38,25,11.92,4.53,10.1,0.448,0.64,2.05,0.314,2.22,2.68,0.829,0.95,2.29,3.24,3.49,0.86,0.2,1.63,1.85
Jordan Clarkson,2015,79,79,32.3,15.51,6.01,13.9,0.433,1.41,4.05,0.347,2.08,2.58,0.804,1.18,2.78,3.96,2.43,1.11,0.09,1.71,2.13
Jordan Clarkson,2016,82,19,29.2,14.7,5.82,13.06,0.445,1.43,4.34,0.329,1.63,2.05,0.798,0.6,2.4,3,2.6,1.07,0.1,2,1.83
Jordan Clarkson,2017,81,2,23.3,13.88,5.31,11.78,0.451,1.38,3.93,0.352,1.88,2.35,0.8,0.7,1.98,2.68,2.73,0.72,0.07,1.57,1.32
Jordan Clarkson,2019,71,2,24,15.18,5.55,12.21,0.454,2.14,5.82,0.368,1.94,2.32,0.836,0.7,1.93,2.63,1.92,0.65,0.23,1.37,1.52
Jordan Clarkson,2020,68,1,26.7,18.4,6.72,15.81,0.425,3.06,8.81,0.347,1.9,2.12,0.896,0.69,3.34,4.03,2.47,0.9,0.15,1.69,1.62
Jordan Clarkson,2021,79,1,27.1,16.03,5.9,14.09,0.419,2.41,7.56,0.318,1.82,2.2,0.828,0.85,2.61,3.46,2.46,0.84,0.2,1.63,1.89
Jordan Clarkson,2022,61,61,32.6,20.84,7.51,16.9,0.444,2.54,7.52,0.338,3.28,4.02,0.816,1.18,2.85,4.03,4.43,0.54,0.21,3.05,1.97
Jerami Grant,2014,65,11,21.2,6.32,1.91,5.42,0.352,0.75,2.4,0.314,1.75,2.97,0.591,0.75,2.29,3.05,1.22,0.62,1.05,1.31,2.22
