Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Luka Doncic,2017-18,80,13,25.3,13.49,5.2,11.66,0.446,2.2,5.1,0.431,0.89,1.01,0.877,0.69,3.15,3.84,1.94,1.06,0.28,1.55,1.85
Damian Lillard,2018-19,82,82,31.9,20.67,7.6,16.59,0.458,3.39,7.94,0.427,2.09,2.35,0.886,1.29,3.73,5.02,2.5,0.71,0.4,1.78,2.46
Shai Gilgeous-Alexander,2019-20,72,44,30.8,19.19,6.92,16.14,0.429,3.76,9.56,0.394,1.6,1.89,0.846,0.79,3.78,4.57,2.96,0.92,0.24,2.33,2.29
Giannis Antetokounmpo,2020-21,71,71,34.3,16.56,5.68,13.97,0.406,3.97,10.15,0.391,1.24,1.46,0.846,0.41,4.3,4.7,3.62,0.89,0.42,1.83,2.46
Jayson Tatum,2021-22,81,32,30.8,15.62,5.51,13.56,0.406,3.23,8.84,0.366,1.37,1.57,0.874,0.81,3.54,4.36,2.83,0.9,0.31,1.89,2.27
Stephen Curry,2022-23,80,73,31,16.8,5.94,12.97,0.458,3.6,8.46,0.425,1.32,1.61,0.822,0.84,4.16,5,2.81,1.15,0.33,1.74,1.95
Joel Embiid,2017-18,74,62,20,5.92,2.2,4.68,0.471,0.99,2.66,0.371,0.53,0.84,0.629,0.59,1.89,2.49,0.74,0.7,0.19,0.61,1.76
Luka Doncic,2018-19,67,6,20.2,7,2.73,6.03,0.453,1,3.01,0.332,0.54,0.93,0.581,0.87,2.07,2.94,0.7,0.69,0.33,0.82,2.09
Damian Lillard,2019-20,69,68,29.9,10.62,4.14,8.2,0.505,1.29,3.3,0.39,1.04,1.48,0.706,1.16,4.12,5.28,1.57,1.39,0.65,1.14,2.42
Shai Gilgeous-Alexander,2020-21,43,43,33.3,15.86,5.79,12.07,0.48,2.42,6.07,0.398,1.86,2.37,0.784,1.26,4.26,5.51,2.19,1.53,0.74,1.74,2.65
Giannis Antetokounmpo,2021-22,48,48,36,17.12,6.44,14.52,0.443,2.4,6.6,0.363,1.85,2.46,0.754,1.54,3.96,5.5,2.6,1.48,0.52,1.67,2.73
Jayson Tatum,2022-23,67,67,35.6,16.78,6.28,13.21,0.476,2.12,5.48,0.387,2.09,2.49,0.838,1.42,3.54,4.96,1.96,1.91,0.75,1.97,2.99
Joel Embiid,2022-23,78,17,28.5,16.69,5.29,12.19,0.434,1.28,3.97,0.323,4.82,5.82,0.828,1.12,2.96,4.08,1.49,0.62,0.17,1.95,2.08
Joel Embiid,2015-16,17,0,8.5,3.59,1.29,3.12,0.415,0.24,0.65,0.364,0.76,1.24,0.619,0.76,1.47,2.24,0.18,0.29,0.41,0.12,0.65
Luka Doncic,2016-17,13,0,8.2,2.69,0.92,1.77,0.522,0,0.38,0,0.85,1.15,0.733,1.08,1.15,2.23,0.15,0.23,0.46,0.54,0.85
Damian Lillard,2018-19,21,2,11.9,8.19,2.9,5.57,0.521,0.43,1.24,0.346,1.95,2.67,0.732,0.81,3.14,3.95,0.38,0.33,0.48,0.81,0.81
Shai Gilgeous-Alexander,2019-20,62,12,21.4,13.06,4.65,8.19,0.567,0.87,2.26,0.386,2.9,3.9,0.744,1.68,4.61,6.29,0.97,0.55,0.87,1.35,1.58
Giannis Antetokounmpo,2020-21,41,41,32.3,20.98,8.02,15.61,0.514,1.88,5.02,0.374,3.05,4.83,0.631,1.85,7.78,9.63,1.73,0.83,1.17,1.95,2.15
Jayson Tatum,2021-22,68,67,30.8,17.91,6.47,12.91,0.501,1.93,4.94,0.39,3.04,4.88,0.623,1.62,8.47,10.09,2.28,0.79,0.96,1.85,2.51
Stephen Curry,2022-23,67,17,25.9,16.63,5.91,11.48,0.515,1.57,4.16,0.376,3.24,4.19,0.772,1.3,6.03,7.33,1.81,0.45,1.07,1.81,2.52
Joel Embiid,2021-22,54,54,31.5,12.48,5.2,12.41,0.419,1.04,3.94,0.263,1.04,1.46,0.709,1.81,5.98,7.8,6.39,0.94,0.37,3.17,1.63
Luka Doncic,2022-23,76,76,31.1,16.58,7.09,14.71,0.482,1,3.08,0.325,1.39,1.91,0.731,1.95,5.93,7.88,6.17,0.75,0.41,2.78,1.88
Joel Embiid,2014-15,47,8,17,5.17,1.98,4.43,0.447,0.28,1.02,0.271,0.94,1.3,0.721,0.98,2.62,3.6,0.7,0.45,0.47,0.81,1.77
Luka Doncic,2015-16,78,37,23.9,9.22,3.51,7.42,0.473,0.54,1.82,0.296,1.65,2.47,0.668,1.97,4.53,6.5,1.64,0.76,0.71,0.85,1.96
Damian Lillard,2016-17,80,72,28.7,12.74,4.91,10.81,0.454,0.96,3.34,0.288,1.95,2.71,0.719,1.45,3.61,5.06,1.88,0.81,0.5,1.11,2.15
Shai Gilgeous-Alexander,2017-18,58,57,32.9,17.62,6.47,14.91,0.434,1.98,5.9,0.336,2.71,3.88,0.698,1.5,6.38,7.88,2.34,1.02,0.78,1.84,1.91
Giannis Antetokounmpo,2018-19,78,78,33.8,15.97,6.03,13.41,0.449,1.55,4.45,0.349,2.37,3.24,0.731,1.65,5.71,7.36,3.71,0.73,0.72,2.08,2.21
Jayson Tatum,2019-20,62,62,32.5,14.42,5.4,12.37,0.437,1.18,3.82,0.308,2.44,3.61,0.674,1.73,5.94,7.66,3.68,0.82,0.63,1.61,2.02
Stephen Curry,2020-21,50,50,27.7,12.36,4.62,9.98,0.463,1.18,3.52,0.335,1.94,2.98,0.651,1.54,4.14,5.68,3.22,0.66,0.68,1.94,1.78
Kevin Durant,2021-22,75,75,31.7,15.01,5.79,11.12,0.52,1.16,3.47,0.335,2.28,3.07,0.743,1.67,4.19,5.85,2.51,0.59,0.59,1.77,1.97
LeBron James,2022-23,68,68,30.2,16.31,6.31,11.19,0.564,0.88,2.54,0.347,2.81,4.62,0.608,2.41,4.15,6.56,2.99,0.79,0.75,1.44,1.9
Joel Embiid,2022-23,74,73,31.1,16.27,5.53,13.28,0.416,1.62,4.73,0.343,3.59,4.81,0.747,0.99,2.91,3.89,5.23,0.82,0.23,3.2,3.27
Joel Embiid,2021-22,69,69,33.8,14.99,6.12,12.03,0.508,0.33,1.33,0.25,2.42,3.65,0.663,2.07,6.19,8.26,2.52,0.81,1.67,1.93,2.13
Luka Doncic,2022-23,79,79,34.4,16.16,6.65,11.99,0.554,0.28,1.29,0.216,2.59,3.85,0.674,2.37,6.63,9,2.84,0.76,1.51,1.85,2.76
Joel Embiid,2008-09,82,75,30.5,13.02,5.46,10.29,0.531,0,0.02,0,2.1,2.65,0.793,2.74,5.37,8.11,1.05,0.54,1.84,1.79,3.13
Luka Doncic,2009-10,82,82,36.9,18.8,6.87,13.77,0.499,0,0.02,0,5.07,6.21,0.817,3.29,5.35,8.65,2.28,0.67,1.7,2.49,3.06
Damian Lillard,2010-11,82,82,35.2,20.4,7.85,15.96,0.492,0,0.01,0,4.7,5.96,0.787,2.4,3.55,5.95,1.57,0.57,1.46,2.15,2.93
Shai Gilgeous-Alexander,2011-12,5,5,27.2,19.2,7.6,15.4,0.494,0,0,0,4,6.4,0.625,1.6,2,3.6,1.2,0.2,0.8,1.2,1.6
Giannis Antetokounmpo,2012-13,74,74,30.5,19.42,7.7,14.78,0.521,0,0.01,0,4.01,5.3,0.758,2.81,4.11,6.92,0.95,0.45,2.08,1.77,2.05
Jayson Tatum,2013-14,17,17,31.4,20.71,7.59,13.47,0.563,0,0.06,0,5.53,6.76,0.817,2.29,3.71,6,0.94,0.53,1.76,1.65,3.06
Stephen Curry,2014-15,72,44,29.2,17.17,7.03,13.71,0.513,0.01,0.14,0.1,3.1,3.81,0.814,2.97,4.46,7.43,0.69,0.6,1.75,1.44,2.86
Kevin Durant,2015-16,73,73,33.7,20.56,8.1,15.85,0.511,0.03,0.19,0.143,4.34,5.52,0.787,2.79,5.05,7.85,2.01,0.79,1.7,2.4,2.95
LeBron James,2016-17,75,75,29.6,20.52,7.4,15.63,0.474,1.79,5.16,0.346,3.93,4.85,0.81,1.61,3.76,5.37,2.35,0.51,1.65,2.45,2.56
Donovan Mitchell,2017-18,74,72,23.4,12.99,4.99,10.72,0.465,1.51,4.39,0.345,1.5,2.14,0.703,1,2.97,3.97,1.7,0.41,1.32,1.32,2.64
